Intact
Draft Amidships	0.000	1.100	2.200	3.300	4.400	5.500	6.600	7.700	8.800	9.900	11.000
m											
Displacement t	0.0000	4279	9716	15619	21834	28300	34984	41885	49026	56508	64334
Heel deg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Draft at FP m	0.000	1.100	2.200	3.300	4.400	5.500	6.600	7.700	8.800	9.900	11.000
Draft at AP m	0.000	1.100	2.200	3.300	4.400	5.500	6.600	7.700	8.800	9.900	11.000
Draft at LCF m	0.000	1.100	2.200	3.300	4.400	5.500	6.600	7.700	8.800	9.900	11.000
Trim (+ve by stern) m	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
WL Length m	123.625	209.440	212.128	213.733	213.424	212.200	211.066	209.663	208.073	220.983	221.042
Beam max extents on WL m	0.000	39.733	40.000	40.000	40.000	40.000	40.000	40.000	40.000	40.000	40.000
Wetted Area m^2	0.000	4619.520	5377.448	5979.384	6538.763	7083.153	7629.697	8197.119	8819.292	9589.010	10179.993
Waterpl. Area m^2	0.000	4520.922	5064.059	5386.184	5630.346	5833.452	6023.413	6221.445	6456.008	6832.545	7021.814
Prismatic coeff. (Cp)	0.020	0.466	0.516	0.546	0.571	0.595	0.616	0.636	0.656	0.632	0.647
Block coeff. (Cb)	0.000	0.456	0.508	0.540	0.567	0.591	0.613	0.633	0.653	0.630	0.645
Max Sect. area coeff. (Cm)	0.000	0.978	0.985	0.990	0.992	0.994	0.995	0.996	0.996	0.997	0.997
Waterpl. area coeff. (Cwp)	0.000	0.543	0.597	0.630	0.660	0.687	0.713	0.742	0.776	0.773	0.794
LCB from zero pt. (+ve fwd) m	137.032	110.561	110.815	110.910	110.864	110.697	110.408	109.944	109.243	108.155	106.815
LCF from zero pt. (+ve fwd) m	107.500	110.834	111.099	110.977	110.480	109.745	108.518	106.537	103.496	98.425	96.268
KB m	15.434	0.601	1.194	1.784	2.373	2.963	3.553	4.146	4.744	5.355	5.975
KG m	10.650	10.650	10.650	10.650	10.650	10.650	10.650	10.650	10.650	10.650	10.650
BMt m	0.000	92.530	48.612	33.152	25.316	20.607	17.513	15.393	13.909	12.787	11.747
BML m	0.000	1804.358	1008.045	719.288	569.068	475.404	413.662	372.633	349.119	357.246	335.735
GMt m	4.784	82.481	39.155	24.287	17.039	12.919	10.416	8.889	8.004	7.492	7.073
GML m	4.784	1794.309	998.589	710.422	560.791	467.717	406.565	366.129	343.213	351.951	331.060
KMt m	15.434	93.131	49.805	34.937	27.689	23.569	21.066	19.539	18.654	18.142	17.723
KML m	15.434	1804.959	1009.239	721.072	571.441	478.367	417.215	376.779	353.863	362.601	341.710
Immersion (TPc) tonne/cm	0.000	46.339	51.907	55.208	57.711	59.793	61.740	63.770	66.174	70.034	71.974
MTc tonne.m	0.000	357.097	451.264	516.087	569.506	615.639	661.545	713.277	782.617	925.033	990.624
RM at 1deg = GMt.Disp.sin(1) tonne.m	0.000	6159.365	6639.394	6620.114	6493.012	6380.885	6359.525	6498.153	6848.113	7388.673	7940.955
Max deck inclination deg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Trim angle (+ve by stern) deg	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
