Loadcase_3_Loaded_Departure_arrival - Intact
Name	Long. Pos.	Mass	Buoyancy	Grounding	Damage/NBV	Net Load	Shear	Moment
	m	t/m	t/m	t/m	t/m	t/m	x10^3 tonne	x10^3 tonne.m
st -1	-19.540	0.000	0.000	0.000	0.000	0.000	0.000	0.000
st -0.75	-14.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000
st -0.5	-9.770	0.000	0.000	0.000	0.000	0.000	0.000	0.000
st -0.25	-4.880	55.988	0.000	0.000	0.000	55.988	0.022	0.007
AP	0.000	80.003	0.000	0.000	0.000	80.003	0.397	1.001
st 0.25	4.880	83.149	0.000	0.000	0.000	83.149	0.793	3.901
st 0.5	9.770	95.518	-9.874	0.000	0.000	85.644	2.211	11.064
st 0.75	14.650	121.066	-50.629	0.000	0.000	70.437	2.589	22.804
st 1	19.540	0.188	-76.387	0.000	0.000	-76.198	2.318	34.946
st 1.5	29.310	0.600	-121.485	0.000	0.000	-120.885	4.251	58.483
st 2	39.090	1.264	-166.983	0.000	0.000	-165.719	2.851	93.567
st 2.5	48.860	0.000	-213.678	0.000	0.000	-213.678	0.993	112.717
st 3	58.640	0.200	-259.121	0.000	0.000	-258.922	-1.323	111.465
st 4	78.180	1.220	-319.642	0.000	0.000	-318.422	-7.033	31.720
st 5	97.720	108.273	-348.209	0.000	0.000	-239.937	-12.259	-160.364
st 6	117.270	111.325	-351.029	0.000	0.000	-239.704	-4.053	-285.286
st 7	136.810	111.361	-317.180	0.000	0.000	-205.819	8.741	-162.393
st 8	156.360	111.533	-271.407	0.000	0.000	-159.874	5.116	-28.329
st 9	175.900	1.244	-194.150	0.000	0.000	-192.906	1.252	36.199
st 9.5	185.680	0.829	-143.714	0.000	0.000	-142.886	-0.389	40.019
st 10	195.450	0.555	-98.864	0.000	0.000	-98.309	-1.561	30.141
st 10.5	205.220	7.149	-61.763	0.000	0.000	-54.614	-2.335	10.812
FP	215.000	2.364	-26.785	0.000	0.000	-24.422	0.077	-0.159
st 11.25	219.880	0.000	-5.203	0.000	0.000	-5.203	0.003	-0.001
st 11.5	224.770	0.000	0.000	0.000	0.000	0.000	0.000	0.000
st 11.75	229.650	0.000	0.000	0.000	0.000	0.000	0.000	0.000
st 12	234.540	0.000	0.000	0.000	0.000	0.000	0.000	0.000
min. Shear	99.950	108.620	-348.531	0.000	0.000	-239.911	-12.794	-188.298
max. Shear	122.550	112.152	-351.791	0.000	0.000	-239.639	11.931	-309.164
min. Moment	122.504	172612.144	-351.784	0.000	0.000	172260.360	4.026	-309.530
max. Moment	53.326	0.000	-234.951	0.000	0.000	-234.951	-0.009	114.952
